,2012,2013,2014,2015,2016,2017,2018,2019
深物业A,20.1377,18.5793,32.914,14.5552,17.2327,21.4468,21.2634,18.7328
特力A,0.2316,0.6201,1.8422,14.0712,8.5177,18.9443,20.7948,38.3151
深深房A,10.3728,10.7876,13.9782,13.9167,13.2437,13.7396,22.9852,21.2339
华联控股,24.8004,59.6487,14.6808,23.1513,62.303999999999995,34.5536,30.9226,28.1205
京基智农,2.0617,-0.6349,5.6038,9.1127,0.3846,-8.9543,13.0796,23.5477
双林生物,0.5396,13.3982,21.8454,13.3608,7.8107,2.2243,8.7155,17.2376
泸州老窖,39.3076,33.9131,18.2325,22.4737,23.479,25.0318,26.8889,29.3498
古井贡酒,17.288,13.5792,12.8372,13.6212,14.1316,17.0088,20.0424,20.7143
盛达资源,58.8156,54.666000000000004,51.0262,50.6433,48.2867,36.7462,23.2109,19.3066
长春高新,22.8044,20.5499,19.6355,22.4179,23.3627,22.6122,27.2152,31.8589
上峰水泥,1.2344,10.2473,13.4997,2.9658,4.7683,16.7374,28.0324,32.0845
贝瑞基因,0.067,-2.3755,2.4818,-5.6546,-1.6921,20.8716,18.0423,23.9318
居然之家,1.8141,1.5225,1.2461,-0.3583,0.9244,9.8778,2.7234,34.6828
万年青,6.0322,11.2961,13.1086,6.1421,6.8331,11.8698,18.0043,18.0377
东莞控股,48.1489,52.3288,64.057,74.5091,66.2426,61.2254,64.795,65.5528
承德露露,10.6488,13.0488,16.6531,17.3149,18.0778,19.7993,19.4464,20.655
五粮液,37.9976,33.6678,28.8329,29.5969,28.7517,33.4119,35.0702,36.3706
天山股份,6.2596,4.8237,3.8938,-13.270999999999999,0.3798,3.9767,15.6084,18.8784
城发环境,6.1128,3.5482,6.1864,2.5897,2.3797,14.0593,29.0573,27.7835
佳电股份,6.4824,6.3366,0.2754,-29.6985,-34.4785,7.5875,14.3061,16.3936
四川双马,3.8736,9.7813,8.306000000000001,-5.3508,4.8387,8.9861,36.283,40.1208
华兰生物,32.2926,42.5518,43.3152,39.5443,39.8706,33.9373,37.5995,37.2675
