,open,high,low,close
2014-11-03,2425.22,2436.78,2418.17,2430.03
2014-11-04,2428.27,2435.22,2417.22,2430.68
2014-11-05,2432.17,2434.36,2415.5,2419.25
2014-11-06,2419.62,2426.89,2401.75,2425.86
2014-11-07,2427.9,2454.42,2407.44,2418.17
2014-11-10,2436.63,2474.16,2428.18,2473.67
2014-11-11,2483.65,2508.62,2445.96,2469.67
2014-11-12,2454.6,2494.92,2444.81,2494.48
2014-11-13,2495.0,2507.74,2471.41,2485.61
2014-11-14,2477.97,2481.03,2457.05,2478.82
2014-11-17,2506.86,2508.77,2472.45,2474.01
2014-11-18,2474.18,2477.05,2449.81,2456.37
2014-11-19,2452.15,2461.49,2442.71,2450.99
2014-11-20,2443.28,2458.32,2437.48,2452.66
2014-11-21,2452.64,2488.2,2446.65,2486.79
2014-11-24,2505.53,2546.75,2495.52,2532.88
2014-11-25,2532.0,2568.38,2527.08,2567.6
2014-11-26,2572.65,2605.07,2570.4,2604.34
2014-11-27,2615.37,2631.4,2599.11,2630.49
2014-11-28,2629.63,2683.18,2622.06,2682.84
2014-12-01,2691.72,2720.74,2668.84,2680.16
2014-12-02,2667.82,2777.37,2665.69,2763.55
2014-12-03,2768.68,2824.18,2733.87,2779.53
2014-12-04,2783.47,2900.51,2772.43,2899.46
2014-12-05,2926.57,2978.03,2813.05,2937.65
2014-12-08,2907.82,3041.66,2879.85,3020.26
2014-12-09,2992.49,3091.32,2834.59,2856.27
2014-12-10,2855.94,2946.71,2807.68,2940.01
2014-12-11,2912.35,2965.68,2892.61,2925.74
2014-12-12,2929.36,2962.51,2914.96,2938.17
2014-12-15,2921.45,2960.23,2890.9,2953.42
2014-12-16,2953.81,3021.9,2943.91,3021.52
2014-12-17,3031.95,3076.6,2993.33,3061.02
2014-12-18,3062.8,3089.79,3030.32,3057.52
2014-12-19,3053.07,3117.53,3018.42,3108.6
2014-12-22,3129.27,3189.87,3090.51,3127.45
2014-12-23,3085.08,3136.84,3025.67,3032.61
2014-12-24,3039.21,3050.51,2934.91,2972.53
2014-12-25,2992.46,3073.34,2969.87,3072.54
2014-12-26,3078.01,3164.16,3064.18,3157.6
2014-12-29,3212.56,3223.86,3126.94,3168.02
2014-12-30,3160.8,3190.3,3130.35,3165.82
2014-12-31,3172.6,3239.36,3157.26,3234.68
2015-01-05,3258.63,3369.28,3253.88,3350.52
2015-01-06,3330.8,3394.22,3303.18,3351.45
2015-01-07,3326.65,3374.9,3312.21,3373.95
2015-01-08,3371.96,3381.57,3285.09,3293.46
2015-01-09,3276.97,3404.83,3267.51,3285.41
2015-01-12,3258.21,3275.18,3191.58,3229.32
2015-01-13,3223.54,3259.39,3214.41,3235.3
2015-01-14,3242.34,3268.48,3193.98,3222.44
2015-01-15,3224.07,3337.08,3207.55,3336.45
2015-01-16,3343.6,3400.32,3340.49,3376.49
2015-01-19,3189.73,3262.21,3095.07,3116.35
2015-01-20,3114.56,3190.24,3100.48,3173.05
2015-01-21,3189.09,3337.0,3178.34,3323.61
2015-01-22,3327.32,3352.38,3293.98,3343.34
2015-01-23,3357.1,3406.79,3328.29,3351.76
2015-01-26,3347.26,3384.8,3321.32,3383.18
2015-01-27,3389.85,3390.22,3290.22,3352.96
2015-01-28,3325.72,3354.8,3294.66,3305.74
2015-01-29,3259.0,3286.79,3234.24,3262.3
2015-01-30,3273.75,3288.5,3210.31,3210.36
2015-02-02,3148.14,3175.13,3122.57,3128.3
2015-02-03,3156.09,3207.93,3129.73,3204.91
2015-02-04,3212.82,3238.98,3171.14,3174.13
2015-02-05,3251.21,3251.21,3135.82,3136.53
2015-02-06,3120.09,3129.54,3052.94,3075.91
2015-02-09,3063.51,3119.03,3049.11,3095.12
2015-02-10,3090.49,3142.1,3084.25,3141.59
2015-02-11,3145.76,3166.42,3139.05,3157.7
2015-02-12,3157.96,3181.77,3134.24,3173.42
2015-02-13,3186.81,3237.16,3182.79,3203.83
2015-02-16,3206.14,3228.85,3195.88,3222.36
2015-02-17,3230.88,3255.72,3230.77,3246.91
2015-02-25,3256.48,3257.22,3215.55,3228.84
2015-02-26,3222.15,3300.62,3202.19,3298.36
2015-02-27,3296.83,3324.55,3291.01,3310.3
2015-03-02,3332.72,3336.76,3298.67,3336.28
2015-03-03,3317.7,3317.7,3260.43,3263.05
2015-03-04,3264.18,3286.59,3250.48,3279.53
2015-03-05,3264.09,3266.64,3221.67,3248.48
2015-03-06,3248.04,3266.93,3234.53,3241.19
2015-03-09,3224.31,3307.7,3198.37,3302.41
2015-03-10,3289.09,3309.91,3277.09,3286.07
2015-03-11,3289.59,3325.05,3278.47,3290.9
2015-03-12,3314.81,3360.05,3300.49,3349.32
2015-03-13,3359.49,3391.26,3352.15,3372.91
