,2012,2013,2014,2015,2016,2017,2018,2019,pe_quantile,mv_quantile
深物业A,28.5156,18.2017,21.5371,7.5139,15.7353,23.3664,18.9379,25.218000000000004,0.25176470588235295,0.4886274509803922
深深房A,6.7519,13.0487,14.8095,13.4037,12.5239,6.7611,16.346,15.7863,0.36,0.043137254901960784
派林生物,15.2372,26.5005,33.8801,16.8004,10.2191,3.835,13.2237,22.3162,0.6862745098039216,0.967843137254902
粤高速A,4.1935,3.0041,6.8889,9.1807,14.8345,17.4436,18.0231,12.9688,0.7294117647058823,0.3788235294117647
泸州老窖,52.0411,33.9179,8.676,14.7377,18.0952,19.5248,21.693,25.5254,0.9623529411764706,0.971764705882353
盛达资源,54.5483,50.6985,40.6477,31.2769,11.6348,11.4298,19.3521,22.0487,0.5215686274509804,0.6274509803921569
仁和药业,18.6625,11.2662,15.5936,17.6982,14.4871,13.2014,15.8267,14.9456,0.7505882352941177,0.9341176470588235
格力电器,33.2792,35.4521,35.9563,27.3413,30.4205,37.5051,33.3959,24.5151,0.9607843137254902,0.9168627450980392
上峰水泥,3.5388,35.102,23.1807,3.5209,9.0623,42.6732,51.6718,52.4828,0.3631372549019608,0.8776470588235294
鲁泰A,13.6721,17.7539,15.2459,10.6093,11.6942,11.8732,11.2888,12.8322,0.9976470588235294,0.03058823529411765
万年青,11.7958,23.0521,23.855,9.6613,8.4278,15.6526,31.8773,30.1043,0.28784313725490196,0.8972549019607843
酒鬼酒,30.5913,-2.0195,-5.6774,5.1721,5.9958,9.0984,10.640999999999998,12.9931,0.952156862745098,0.9827450980392157
东莞控股,10.8298,11.439,15.4608,18.9793,17.1216,16.4879,17.2673,15.6419,0.5105882352941177,0.6047058823529412
承德露露,28.6136,36.9371,38.1348,30.9868,24.6603,20.8123,21.0716,23.7315,0.12392156862745098,0.08627450980392157
五粮液,36.6085,23.7112,15.452,14.9255,15.0091,19.2683,22.914,25.2612,0.956078431372549,0.956078431372549
天山股份,5.8003,4.2655,3.7372,-7.9104,1.6225,4.0096,15.7589,18.1278,0.5976470588235294,0.9215686274509803
四川双马,0.4387,3.4621,1.6243,-4.8637,3.1614,7.2261,21.7284,18.9471,0.17411764705882352,0.26823529411764707
世荣兆业,16.5666,40.9326,0.9312,3.9233,5.3717,42.8089,30.8119,30.0949,0.13568627450980392,0.025098039215686273
亿帆医药,3.0229,5.1816,15.5914,13.349,22.0837,26.1202,11.2651,12.7938,0.48705882352941177,0.735686274509804
京新药业,4.1175,8.0913,9.662,9.1853,9.2193,8.3908,9.8909,14.3402,0.021176470588235293,0.7325490196078431
分众传媒,1.3471,-22.458000000000002,1.3394,133.0606,70.7122,65.3983,47.3919,13.4046,0.6258823529411764,0.7396078431372549
华帝股份,20.8075,20.083,20.7945,13.8999,20.0759,25.9816,28.3414,26.7151,0.4258823529411765,0.058823529411764705
三花智控,9.6587,10.717,14.6183,14.794,17.1927,18.7294,15.6741,15.8736,0.864313725490196,0.88
华峰化学,1.1168,15.7391,16.4205,7.824,-9.5393,12.0174,12.365,31.8545,0.8721568627450981,0.9639215686274509
东港股份,9.5567,11.3256,13.5458,15.9244,14.9318,15.2828,16.3442,16.3365,0.4603921568627451,0.021176470588235293
南极电商,-17.076,-74.687,2.3566,20.500999999999998,21.761999999999997,23.4567,26.228,28.0585,0.03372549019607843,0.5129411764705882
露天煤业,30.3259,15.3365,8.5289,6.2041,8.9892,17.285,17.5556,17.3438,0.5341176470588235,0.8823529411764706
通润装备,8.7007,9.0689,10.4072,11.0538,11.8632,6.5282,10.4982,12.2112,0.3403921568627451,0.3780392156862745
劲嘉股份,19.5675,17.996,18.0744,18.9287,13.2094,10.4985,11.2089,13.0679,0.15450980392156863,0.5725490196078431
武汉凡谷,1.9386,2.4902,6.892,3.6912,-8.181000000000001,-29.5578,12.1193,14.7776,0.7364705882352941,0.5701960784313725
塔牌集团,5.8846,11.0945,15.1863,8.8548,10.0386,11.2142,20.0873,18.4823,0.18509803921568627,0.7466666666666667
民和股份,-5.5297,-19.6191,5.4006,-30.5026,16.128,-32.824,40.9203,83.4736,0.92,0.3615686274509804
桂林三金,16.3101,19.6343,19.6686,16.1534,16.5101,18.2854,15.1393,13.95,0.7090196078431372,0.06666666666666667
奇正藏药,14.8232,15.6318,16.309,17.0073,17.3282,16.6604,16.3208,17.0418,0.0988235294117647,0.4682352941176471
圣农发展,0.0759,-6.8379,2.4246,-9.222999999999999,12.1886,5.1842,21.5037,44.7028,0.3043137254901961,0.7003921568627451
富安娜,18.9289,19.0066,18.9866,18.0211,17.7425,17.0103,16.2175,14.2301,0.3537254901960784,0.40941176470588236
同德化工,10.8303,15.7478,14.5154,8.5178,8.3168,9.3595,13.9242,14.0666,0.5537254901960784,0.6141176470588235
双箭股份,11.0421,14.08,11.9428,9.0648,3.8265,6.7947,9.1934,14.259,0.1192156862745098,0.7380392156862745
闰土股份,7.605,18.7873,24.6148,12.5383,10.7165,14.025,17.5415,16.3662,0.5396078431372549,0.276078431372549
常宝股份,8.4349,8.7071,8.8684,7.0809,3.6769,4.2731,12.4813,14.251,0.7152941176470589,0.05568627450980392
科士达,7.2849,9.3971,10.290999999999999,14.1703,15.9471,17.543,9.826,12.7312,0.3247058823529412,0.37019607843137253
三七互娱,1.6723,0.4871,2.2596,16.3018,26.4662,28.0853,15.527999999999999,32.53,0.14823529411764705,0.7145098039215686
洽洽食品,11.1682,9.8361,11.0107,13.0421,12.1901,10.6191,13.5483,17.2919,0.7678431372549019,0.8384313725490196
百润股份,12.3448,6.5526,8.8446,60.8016,-11.3272,10.8016,6.6835,15.3137,0.8235294117647058,0.9858823529411764
索菲亚,12.1909,15.2001,17.7423,21.623,21.4447,21.6937,20.616999999999997,20.968000000000004,0.508235294117647,0.7749019607843137
金禾实业,8.2218,8.3886,8.9496,10.865,24.6032,34.5801,24.7422,19.2517,0.9129411764705883,0.9576470588235294
姚记科技,12.3828,14.2918,13.6205,9.53,7.6522,4.9534,7.6345,20.9535,0.0,0.7654901960784314
中公教育,9.3306,5.4881,-6.7144,1.8544,4.9101,3.8932,47.3853,56.5202,0.5325490196078432,0.8549019607843137
完美世界,6.0674,3.3454,30.1117,32.384,28.3084,19.8269,20.8019,16.7407,0.2172549019607843,0.4
金达威,8.1659,7.8974,14.2044,7.8157,16.5441,20.3938,24.9794,15.210999999999999,0.4203921568627451,0.9568627450980393
海思科,35.7948,28.5697,22.3354,17.4559,20.4799,11.1785,16.6102,22.4595,0.47372549019607846,0.9803921568627451
浙江美大,14.7921,12.0815,14.437999999999999,15.3243,18.4692,24.8178,28.2421,31.8974,0.35294117647058826,0.9262745098039216
乔治白,14.7308,6.8393,8.3212,6.169,6.3389,7.4864,10.8275,12.9843,0.1607843137254902,0.25333333333333335
博实股份,18.104,14.9304,12.1304,10.5205,6.1545,6.9072,9.1198,14.1023,0.2447058823529412,0.9764705882352941
良信股份,,,17.2345,14.7405,13.1621,12.9647,12.8718,15.3152,0.9411764705882353,0.9929411764705882
牧原股份,,,5.0045,21.7852,50.567,25.715,4.1574,34.5474,0.29254901960784313,0.9733333333333334
葵花药业,,,19.7813,13.1438,11.9146,15.0614,17.9797,17.4057,0.2407843137254902,0.03686274509803922
仙坛股份,,,,2.506,16.0933,4.8878,17.6032,34.8428,0.40705882352941175,0.5458823529411765
国光股份,,,,21.5031,16.1204,21.1512,26.0001,19.496,0.6031372549019608,0.4533333333333333
康弘药业,,,,19.241,18.3756,19.9803,18.2223,16.5016,0.01647058823529412,0.10666666666666667
洪汇新材,,,,,12.6934,12.5116,12.0517,14.9681,0.20206362854686155,0.4754944110060189
山东赫达,,,,,9.4385,7.0906,10.2503,18.8596,0.7386262265834077,0.9991079393398751
崇达技术,,,,,23.8982,19.167,20.6425,15.5348,0.03744292237442922,0.030136986301369864
富森美,,,,,18.2458,16.172,16.8125,16.9278,0.42604651162790697,0.5441860465116279
凯莱英,,,,,19.1788,17.9062,18.7512,19.9372,0.9812734082397003,0.9859550561797753
弘亚数控,,,,,29.9446,28.5431,25.8203,23.5046,0.7028846153846153,0.9846153846153847
金溢科技,,,,,,12.3393,2.1312,60.1225,0.17875920084121977,0.555205047318612
卫光生物,,,,,,18.1037,12.4863,12.4445,0.6512378902045209,0.7836383207750269
凌霄泵业,,,,,,21.0945,17.6315,20.0348,0.8092105263157895,0.9769736842105263
兴瑞科技,,,,,,,18.1544,15.7466,0.19086460032626426,0.17944535073409462
新农股份,,,,,,,24.4901,18.468,0.13732394366197184,0.4278169014084507
恒铭达,,,,,,,25.9323,18.7833,0.3446969696969697,0.045454545454545456
金时科技,,,,,,,,16.117,0.033797216699801194,0.033797216699801194
西麦食品,,,,,,,,16.8979,0.5477272727272727,0.5522727272727272
科瑞技术,,,,,,,,13.2589,0.0774818401937046,0.0774818401937046
锐明技术,,,,,,,,21.5298,0.05993690851735016,0.15772870662460567
乐普医疗,16.2818,13.2965,14.177,13.1051,13.1368,15.0298,19.055,24.9242,0.09019607843137255,0.6274509803921569
华测检测,14.4623,16.4563,13.0264,13.3759,5.3027,5.4757,10.3701,16.2465,0.8470588235294118,0.9874509803921568
爱尔眼科,12.75,14.118,16.7557,19.3689,21.5382,18.5693,18.4975,22.4455,0.8682352941176471,0.9270588235294117
同花顺,2.3133,1.9363,5.188,57.6875,47.6966,23.7051,19.4786,24.4934,0.483921568627451,0.8549019607843137
长信科技,14.9284,16.97,8.6549,8.3562,9.5487,13.425999999999998,15.4521,15.15,0.19137254901960785,0.6807843137254902
建新股份,1.5015,4.4544,4.7991,2.6297,2.5181,9.1989,51.2626,19.5578,0.42745098039215684,0.043137254901960784
中航电测,6.2302,5.9166,8.7445,8.2854,7.9362,9.2591,10.7265,13.8862,0.07137254901960784,0.5803921568627451
汇川技术,12.2261,19.4402,20.3781,21.502,21.2373,20.9039,20.0011,12.8121,0.9019607843137255,0.9701960784313726
青松股份,6.3069,6.1945,8.9238,1.8153,5.3016,13.9066,43.5676,21.9034,0.3819607843137255,0.9145098039215687
先河环保,5.2371,6.4118,7.1933,7.2445,7.4733,12.331,15.2134,13.5703,0.46588235294117647,0.3168627450980392
