,Date,Build,C&P Composite Index,Valid Case Num
0,2/25/2023,1812,100.0245641,6
1,2/24/2023,1782,100.0155553,6
2,2/22/2023,1748,99.97210292,6
3,2/21/2023,1725,100.84,6
4,2/20/2023,1697,100.33,6
5,2/16/2023,1648,99.50558506,1
6,2/15/2023,1606,101.3001282,1
7,2/13/2023,1584,99.50558506,1
8,2/6/2023,1459,99.6887017,1
9,2/4/2023,1434,99.87181835,1
10,2/3/2023,1424,100.1281817,1
11,2/2/2023,1403,101.8494781,1
12,2/1/2023,1375,101.3001282,1
13,1/30/2023,1323,102.3622047,1
14,1/29/2023,1301,100.7507782,1
15,1/26/2023,1274,101.5198682,1
16,1/25/2023,1251,102.838308,1
17,1/20/2023,1183,101.0803882,1
18,1/19/2023,1129,100.1281817,1
19,1/18/2023,1115,101.1536349,1
20,1/17/2023,1063,101.6663615,1
21,1/13/2023,927,100.3479216,1
22,1/10/2023,798,130.5621681,1
23,1/2/2023,584,132.2468412,1
24,12/27/2022,490,134.3709943,1
25,12/27/2022,467,134.6273576,1
26,12/23/2022,441,134.0780077,1
27,12/23/2022,427,137.1543673,1
28,12/15/2022,150,125.325032,1
29,12/9/2022,48,121.1865959,1
30,12/5/2022,44577,128.2915217,1
31,12/2/2022,44426,123.0177623,1
32,12/2/2022,44348,116.7185497,1
33,11/30/2022,43928,126.9730819,1
34,11/29/2022,43839,106.7570042,1
35,11/25/2022,43373,117.8904962,1
36,11/25/2022,43234,107.8190808,1
37,11/24/2022,43062,112.9097235,1
38,11/23/2022,42918,104.1933712,1
39,11/22/2022,42694,113.4956968,1
40,11/21/2022,42522,124.3362022,1
41,11/18/2022,42242,128.9141183,1
42,11/18/2022,42103,126.9730819,1
43,11/15/2022,41639,125.434902,1
44,11/9/2022,40919,116.6819264,1
45,11/9/2022,40835,115.4367332,1
46,11/8/2022,40661,118.0736129,1
47,11/2/2022,39867,95.58688885,1
48,11/1/2022,39717,91.81468595,1
49,10/31/2022,39600,92.80351584,1
50,10/28/2022,39501,93.35286578,1
51,10/27/2022,39290,91.7414393,1
52,10/26/2022,39204,97.4180553,1
53,10/25/2022,38978,96.75883538,1
54,10/25/2022,38839,92.36403589,1
55,10/24/2022,38637,90.71598608,1
56,10/22/2022,38592,92.07104926,1
57,10/21/2022,38515,91.52169932,1
58,10/20/2022,38287,92.2541659,1
59,10/19/2022,38018,91.63156931,1
60,10/18/2022,37820,91.59494598,1
61,10/17/2022,37536,92.29078923,1
62,10/15/2022,37295,93.82896905,1
63,10/13/2022,36979,93.02325581,1
64,10/12/2022,36846,92.43728255,1
65,10/10/2022,36384,91.92455594,1
66,10/9/2022,36188,91.63156931,1
67,10/5/2022,35717,92.73026918,1
68,10/3/2022,35431,92.51052921,1
69,10/1/2022,35316,92.65702252,1
70,9/28/2022,34799,91.96117927,1
71,9/26/2022,34335,92.2541659,1
72,9/25/2022,34057,90.8624794,1
73,9/24/2022,34017,90.8624794,1
74,9/23/2022,33956,92.62039919,1
75,9/21/2022,33440,93.16974913,1
76,9/20/2022,33162,91.77806263,1
77,9/16/2022,32649,92.8767625,1
78,9/16/2022,32383,92.80351584,1
79,9/15/2022,32334,93.1331258,1
80,9/15/2022,32123,92.21754257,1
81,9/14/2022,32003,92.95000916,1
82,9/14/2022,31812,91.96117927,1
83,9/13/2022,31502,91.55832265,1
84,9/12/2022,31354,91.9978026,1
85,9/12/2022,31230,92.36403589,1
86,9/11/2022,31210,91.9978026,1
87,9/10/2022,31191,92.51052921,1
88,9/9/2022,31076,93.46273576,1
89,9/9/2022,30897,91.52169932,1
90,9/8/2022,30759,92.58377587,1
91,9/8/2022,30573,91.55832265,1
92,9/7/2022,30281,93.46273576,1
93,9/6/2022,30008,91.9978026,1
94,9/5/2022,29917,92.95000916,1
95,9/5/2022,29735,91.70481597,1
96,9/4/2022,29724,91.85130928,1
97,9/4/2022,29717,91.55832265,1
98,9/3/2022,29711,91.7414393,1
99,9/2/2022,29577,91.77806263,1
100,9/2/2022,29420,91.66819264,1
101,9/1/2022,29129,91.30195935,1
102,8/31/2022,29038,92.32741256,1
103,8/31/2022,28888,90.6061161,1
104,8/30/2022,28760,92.18091925,1
105,8/30/2022,28596,93.02325581,1
106,8/29/2022,28311,93.60922908,1
107,8/28/2022,28302,92.91338583,1
108,8/27/2022,28265,92.36403589,1
109,8/27/2022,28250,91.92455594,1
110,8/26/2022,28157,92.29078923,1
111,8/26/2022,27944,93.3894891,1
112,8/24/2022,27592,92.03442593,1
113,8/24/2022,27428,92.18091925,1
114,8/23/2022,27125,92.14429592,1
115,8/21/2022,26921,91.44845266,1
116,8/21/2022,26916,92.36403589,1
117,8/20/2022,26896,91.33858268,1
118,8/19/2022,26837,91.9978026,1
119,8/19/2022,26687,91.26533602,1
120,8/18/2022,26586,92.29078923,1
121,8/18/2022,26437,90.89910273,1
122,8/17/2022,26354,90.93572606,1
123,8/15/2022,25824,92.03442593,1
124,8/14/2022,25785,91.66819264,1
125,8/13/2022,25778,90.71598608,1
126,8/12/2022,25731,91.52169932,1
127,8/11/2022,25407,91.41182934,1
128,8/10/2022,25135,92.73026918,1
129,8/9/2022,24858,92.29078923,1
130,8/8/2022,24375,92.10767259,1
131,8/7/2022,24357,92.8767625,1
132,8/7/2022,24350,92.29078923,1
133,8/6/2022,24347,92.36403589,1
134,8/6/2022,24329,92.32741256,1
135,8/5/2022,24319,93.20637246,1
136,8/4/2022,23951,92.43728255,1
137,8/3/2022,23775,92.98663248,1
138,8/2/2022,23701,92.51052921,1
139,8/2/2022,23503,91.15546603,1
140,8/1/2022,23447,91.70481597,1
141,8/1/2022,23228,91.7414393,1
142,7/31/2022,23205,90.97234939,1
143,7/31/2022,23178,91.41182934,1
144,7/30/2022,23169,91.81468595,1
145,7/30/2022,23154,91.26533602,1
146,7/29/2022,23133,91.7414393,1
147,7/28/2022,22754,89.80040286,1
148,7/27/2022,22658,91.1188427,1
149,7/27/2022,22508,91.52169932,1
150,7/26/2022,22455,91.70481597,1
151,7/26/2022,22288,91.48507599,1
152,7/25/2022,22030,91.52169932,1
153,7/23/2022,21991,92.21754257,1
154,7/22/2022,21957,89.9835195,1
155,7/22/2022,21737,92.73026918,1
156,7/21/2022,21479,91.63156931,1
157,7/20/2022,21411,91.9978026,1
158,7/20/2022,21218,92.29078923,1
159,7/19/2022,21169,90.71598608,1
160,7/18/2022,20899,90.78923274,1
161,7/18/2022,20670,92.65702252,1
162,7/17/2022,20625,95.1474089,1
163,7/16/2022,20611,91.96117927,1
164,7/16/2022,20580,92.14429592,1
165,7/15/2022,20558,91.9978026,1
166,7/15/2022,20352,92.18091925,1
167,7/13/2022,19825,91.7414393,1
168,7/10/2022,19199,91.52169932,1
169,7/8/2022,19133,91.96117927,1
170,7/7/2022,18650,91.92455594,1
171,7/6/2022,18513,92.10767259,1
172,7/5/2022,18207,92.36403589,1
173,7/5/2022,17997,91.7414393,1
174,7/4/2022,17944,90.93572606,1
175,7/4/2022,17752,92.84013917,1
176,7/3/2022,17720,91.92455594,1
177,7/2/2022,17719,93.68247574,1
178,7/2/2022,17715,92.10767259,1
179,7/1/2022,17685,91.81468595,1
180,7/1/2022,17464,91.22871269,1
181,6/30/2022,17408,92.2541659,1
182,6/29/2022,17123,92.47390588,1
183,6/29/2022,16885,92.14429592,1
184,6/28/2022,16852,91.59494598,1
185,6/28/2022,16634,92.51052921,1
186,6/27/2022,16599,92.03442593,1
187,6/27/2022,16397,91.00897272,1
188,6/26/2022,16363,93.27961912,1
189,6/24/2022,16136,92.84013917,1
190,6/23/2022,16076,90.82585607,1
191,6/23/2022,15859,90.31312946,1
192,6/22/2022,15786,89.94689617,1
193,6/21/2022,15540,90.13001282,1
194,6/21/2022,15347,89.83702619,1
195,6/20/2022,15304,89.54403955,1
196,6/20/2022,15093,89.54403955,1
197,6/19/2022,15079,90.13001282,1
198,6/19/2022,15068,90.23988281,1
199,6/18/2022,15063,90.13001282,1
200,6/18/2022,15051,89.9835195,1
201,6/17/2022,15028,89.94689617,1
202,6/17/2022,14882,90.38637612,1
203,6/16/2022,14840,89.58066288,1
204,6/15/2022,14594,89.58066288,1
205,6/15/2022,14332,89.65390954,1
206,6/14/2022,14245,90.27650613,1
207,6/13/2022,13917,89.91027284,1
208,6/12/2022,13629,90.67936275,1
209,6/12/2022,13619,90.49624611,1
210,6/11/2022,13613,90.97234939,1
211,6/10/2022,13556,90.64273943,1
212,6/10/2022,13317,89.94689617,1
213,6/9/2022,13219,90.71598608,1
214,6/9/2022,13000,90.20325948,1
215,6/8/2022,12960,90.05676616,1
216,6/8/2022,12722,90.16663615,1
217,6/6/2022,12371,89.76377953,1
218,6/6/2022,12107,90.78923274,1
219,6/5/2022,12077,91.00897272,1
220,6/5/2022,12063,90.56949277,1
221,6/4/2022,12046,91.04559604,1
222,6/3/2022,12000,91.15546603,1
223,6/2/2022,11768,92.03442593,1
224,6/1/2022,11474,91.96117927,1
225,6/1/2022,11283,96.39260209,1
226,6/1/2022,11283,96.39260209,1
227,5/30/2022,11009,95.58688885,1
228,5/30/2022,10881,92.07104926,1
229,5/30/2022,10857,95.33052554,1
230,5/30/2022,10844,95.00091558,1
231,5/26/2022,10610,96.06299213,1
232,5/26/2022,10551,95.95312214,1
233,4/29/2022,,67.13422221,1
234,4/28/2022,,67.87767953,1
235,4/27/2022,,70.44497568,1
236,4/26/2022,,69.12287328,1
237,4/25/2022,,67.93261229,1
238,4/24/2022,,69.41219233,1
239,4/23/2022,,68.5405609,1
240,4/22/2022,,68.79692308,1
241,4/21/2022,,68.87017142,1
242,4/20/2022,,69.57333727,1
243,4/19/2022,,69.49642861,1
244,2/26/2022,,90.60611526,1
245,2/24/2022,,92.09668324,1
246,2/23/2022,,92.37502132,1
247,2/22/2022,,92.10767119,1
248,2/21/2022,,95.25727972,1
249,2/20/2022,,93.24665974,1
250,2/19/2022,,93.78502033,1
251,10/28/2021,,102.1790867,1
252,10/27/2021,,106.863215,1
253,10/25/2021,,104.2702826,1
254,10/24/2021,,110.4925841,1
255,10/21/2021,,108.4050554,1
256,10/20/2021,,103.1898941,1
257,10/18/2021,,104.643838,1
