TimeStamp,ASP,EQ,free_tw
2024-01-26T08:40:00.489,ASP-1732-Disp_1,L2_LO_UL_0,4579
2024-01-26T08:40:00.489,ASP-1732-Disp_1,L2_LO_DL_RCV0,4579
2024-01-26T08:40:00.490,ASP-1732-Disp_1,L2_LO_DL_RCV0,4578
2024-01-26T08:40:00.490,ASP-1732-Disp_1,L2_LO_UL_0,4578
2024-01-26T08:40:02.492,ASP-1732-Disp_1,L2_LO_UL_0,4568
2024-01-26T08:40:02.492,ASP-1732-Disp_1,L2_LO_DL_RCV0,4568
2024-01-26T08:40:02.492,ASP-1732-Disp_1,L2_LO_UL_0,4567
2024-01-26T08:40:02.493,ASP-1732-Disp_1,L2_LO_UL_0,4566
2024-01-26T08:40:02.493,ASP-1732-Disp_1,L2_LO_DL_RCV0,4566
2024-01-26T08:40:02.494,ASP-1732-Disp_1,L2_LO_DL_RCV0,4564
2024-01-26T08:40:02.494,ASP-1732-Disp_1,L2_LO_DL_RCV0,4564
2024-01-26T08:40:02.494,ASP-1732-Disp_1,L2_LO_UL_0,4564
2024-01-26T08:40:02.494,ASP-1732-Disp_1,L2_LO_UL_0,4564
2024-01-26T08:40:03.491,ASP-1732-Disp_1,L2_LO_UL_0,4563
2024-01-26T08:40:03.491,ASP-1732-Disp_1,L2_LO_DL_RCV0,4563
2024-01-26T08:40:03.491,ASP-1732-Disp_1,L2_LO_UL_0,4562
2024-01-26T08:40:03.491,ASP-1732-Disp_1,L2_LO_DL_RCV0,4562
2024-01-26T08:40:03.492,ASP-1732-Disp_1,L2_LO_UL_0,4559
2024-01-26T08:40:03.492,ASP-1732-Disp_1,L2_LO_DL_RCV0,4559
2024-01-26T08:40:03.509,ASP-1732-Disp_1,L2_LO_DL_RCV0,4558
2024-01-26T08:40:03.509,ASP-1732-Disp_1,L2_LO_UL_0,4558
2024-01-26T08:40:04.569,ASP-1732-Disp_1,L2_LO_UL_0,4552
2024-01-26T08:40:04.569,ASP-1732-Disp_1,L2_LO_DL_RCV0,4552
2024-01-26T08:40:05.469,ASP-1732-Disp_1,L2_LO_UL_0,4551
2024-01-26T08:40:05.494,ASP-1732-Disp_1,L2_LO_UL_0,4545
2024-01-26T08:40:05.494,ASP-1732-Disp_1,L2_LO_DL_RCV0,4545
2024-01-26T08:40:05.494,ASP-1732-Disp_1,L2_LO_DL_RCV0,4545
2024-01-26T08:40:05.494,ASP-1732-Disp_1,L2_LO_UL_0,4545
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_UL_0,4544
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_DL_RCV0,4544
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_DL_RCV0,4543
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_UL_0,4543
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_DL_RCV0,4542
2024-01-26T08:40:05.495,ASP-1732-Disp_1,L2_LO_UL_0,4542
2024-01-26T08:40:05.506,ASP-1732-Disp_1,L2_LO_DL_RCV0,4542
2024-01-26T08:40:06.706,ASP-1732-Disp_1,L2_LO_DL_RCV0,4535
2024-01-26T08:40:07.493,ASP-1732-Disp_1,L2_LO_UL_0,4531
2024-01-26T08:40:07.493,ASP-1732-Disp_1,L2_LO_DL_RCV0,4531
2024-01-26T08:40:07.569,ASP-1732-Disp_1,L2_LO_UL_0,4529
2024-01-26T08:40:07.589,ASP-1732-Disp_1,L2_LO_DL_RCV0,4529
2024-01-26T08:40:07.589,ASP-1732-Disp_1,L2_LO_UL_0,4529
2024-01-26T08:40:07.591,ASP-1732-Disp_1,L2_LO_DL_RCV0,4530
2024-01-26T08:40:07.591,ASP-1732-Disp_1,L2_LO_UL_0,4530
2024-01-26T08:40:08.084,ASP-1732-Disp_1,L2_LO_UL_0,4532
2024-01-26T08:40:08.490,ASP-1732-Disp_1,L2_LO_UL_0,4533
