,年,月,日期,收盘价
0,1997,12,1997-12-31,5.1
1,1998,1,1998-01-23,4.79
2,1998,2,1998-02-27,4.41
3,1998,3,1998-03-31,4.34
4,1998,4,1998-04-30,4.4
5,1998,5,1998-05-29,4.18
6,1998,6,1998-06-30,4.08
7,1998,7,1998-07-31,3.98
8,1998,8,1998-08-31,3.82
9,1998,9,1998-09-30,3.31
10,1998,10,1998-10-30,3.2
11,1998,11,1998-11-30,3.04
12,1998,12,1998-12-31,2.98
13,1999,1,1999-01-29,3.1
14,1999,2,1999-02-09,2.92
15,1999,3,1999-03-31,3.35
16,1999,4,1999-04-30,3.38
17,1999,5,1999-05-31,3.12
18,1999,6,1999-06-30,4.2
19,1999,7,1999-07-30,3.99
20,1999,8,1999-08-31,4.1
21,1999,9,1999-09-30,4.07
22,1999,10,1999-10-29,3.68
23,1999,11,1999-11-30,3.46
24,1999,12,1999-12-30,3.26
25,2000,1,2000-01-28,3.2
26,2000,2,2000-02-29,3.3
27,2000,3,2000-03-31,3.48
28,2000,4,2000-04-28,4.59
29,2000,5,2000-05-31,4.42
30,2000,6,2000-06-30,4.95
31,2000,7,2000-07-31,5.69
32,2000,8,2000-08-31,5.78
33,2000,9,2000-09-29,5.05
34,2000,10,2000-10-31,4.25
35,2000,11,2000-11-30,4.66
36,2000,12,2000-12-29,4.57
37,2001,1,2001-01-19,4.49
38,2001,2,2001-02-28,4.79
39,2001,3,2001-03-30,4.81
40,2001,4,2001-04-30,4.92
41,2001,5,2001-05-31,4.71
42,2001,6,2001-06-29,5.05
43,2001,7,2001-07-31,4.73
44,2001,8,2001-08-31,4.52
45,2001,9,2001-09-28,4.46
46,2001,10,2001-10-31,4.09
47,2001,11,2001-11-30,4.04
48,2001,12,2001-12-28,4.04
49,2002,1,2002-01-31,3.69
50,2002,2,2002-02-28,3.53
51,2002,3,2002-03-29,3.78
52,2002,4,2002-04-30,3.93
53,2002,5,2002-05-31,3.79
54,2002,6,2002-06-28,4.25
55,2002,7,2002-07-31,4.19
56,2002,8,2002-08-30,3.9
57,2002,9,2002-09-27,3.79
58,2002,10,2002-10-31,3.55
59,2002,11,2002-11-29,3.54
60,2002,12,2002-12-31,3.26
61,2003,1,2003-01-29,3.58
62,2003,2,2003-02-28,3.64
63,2003,3,2003-03-31,3.67
64,2003,4,2003-04-30,4.21
65,2003,5,2003-05-30,4.26
66,2003,6,2003-06-30,4.31
67,2003,7,2003-07-31,4.41
68,2003,8,2003-08-29,4.27
69,2003,9,2003-09-30,4.13
70,2003,10,2003-10-31,4.47
71,2003,11,2003-11-28,5.06
72,2003,12,2003-12-31,5.75
73,2004,1,2004-01-30,6.9
74,2004,2,2004-02-27,7.04
75,2004,3,2004-03-31,7.28
76,2004,4,2004-04-30,6.88
77,2004,5,2004-05-31,4.94
78,2004,6,2004-06-30,4.84
79,2004,7,2004-07-30,4.44
80,2004,8,2004-08-31,4.25
81,2004,9,2004-09-30,5.53
82,2004,10,2004-10-29,5.65
83,2004,11,2004-11-30,5.38
84,2004,12,2004-12-31,5.74
85,2005,1,2005-01-31,5.69
86,2005,2,2005-02-25,6.21
87,2005,3,2005-03-31,6.01
88,2005,4,2005-04-29,5.62
89,2005,5,2005-05-31,4.44
90,2005,6,2005-06-30,4.22
91,2005,7,2005-07-29,4.01
92,2005,8,2005-08-31,4.75
93,2005,9,2005-09-30,4.66
94,2005,10,2005-10-31,4.51
95,2005,11,2005-11-11,4.61
96,2005,12,2005-12-30,4.21
97,2006,1,2006-01-25,4.47
98,2006,2,2006-02-28,5.39
99,2006,3,2006-03-31,5.48
100,2006,4,2006-04-28,6.43
101,2006,5,2006-05-31,6.43
102,2006,6,2006-06-30,6.12
103,2006,7,2006-07-31,6.13
104,2006,8,2006-08-31,5.6
105,2006,9,2006-09-28,5.88
106,2006,10,2006-10-31,6.93
107,2006,11,2006-11-30,9.05
108,2006,12,2006-12-29,10.2
109,2007,1,2007-01-31,14.28
110,2007,2,2007-02-28,13.83
111,2007,3,2007-03-30,14.57
112,2007,4,2007-04-30,18.25
113,2007,5,2007-05-31,20.26
114,2007,6,2007-06-29,20.85
115,2007,7,2007-07-31,24.39
116,2007,8,2007-08-31,34.45
117,2007,9,2007-09-28,38.2
118,2007,10,2007-10-31,37.5
119,2007,11,2007-11-30,29.12
120,2007,12,2007-12-27,30.18
121,2008,1,2008-01-31,31.5
122,2008,2,2008-02-29,26.55
123,2008,3,2008-03-31,26.2
124,2008,4,2008-04-30,21.61
125,2008,5,2008-05-30,23.6
126,2008,6,2008-06-30,20.86
127,2008,7,2008-07-31,14.5
128,2008,8,2008-08-29,12.46
129,2008,9,2008-09-26,9.02
130,2008,10,2008-10-31,7.92
131,2008,11,2008-11-28,7.37
132,2008,12,2008-12-31,8.2
133,2009,1,2009-01-23,8.15
134,2009,2,2009-02-27,9.6
135,2009,3,2009-03-31,8.69
136,2009,4,2009-04-30,9.4
137,2009,5,2009-05-27,10.39
138,2009,6,2009-06-30,14.18
139,2009,7,2009-07-31,17.35
140,2009,8,2009-08-31,18.9
141,2009,9,2009-09-30,13.98
142,2009,10,2009-10-30,13.6
143,2009,11,2009-11-30,15.36
144,2009,12,2009-12-31,16.12
145,2010,1,2010-01-29,16.0
146,2010,2,2010-02-26,12.2
147,2010,3,2010-03-31,12.45
148,2010,4,2010-04-30,12.09
149,2010,5,2010-05-31,9.2
150,2010,6,2010-06-30,8.16
151,2010,7,2010-07-30,8.8
152,2010,8,2010-08-31,8.95
153,2010,9,2010-09-30,8.89
154,2010,10,2010-10-29,10.01
155,2010,11,2010-11-30,9.9
156,2010,12,2010-12-31,8.16
157,2011,1,2011-01-31,8.12
158,2011,2,2011-02-28,8.2
159,2011,3,2011-03-31,8.24
160,2011,4,2011-04-29,8.74
161,2011,5,2011-05-31,7.92
162,2011,6,2011-06-30,7.08
163,2011,7,2011-07-29,6.99
164,2011,8,2011-08-31,6.28
165,2011,9,2011-09-30,5.56
166,2011,10,2011-10-31,5.5
167,2011,11,2011-11-30,5.45
168,2011,12,2011-12-30,4.88
169,2012,1,2012-01-31,4.88
170,2012,2,2012-02-29,5.03
171,2012,3,2012-03-30,4.96
172,2012,4,2012-04-27,4.46
173,2012,5,2012-05-31,4.48
174,2012,6,2012-06-29,4.22
175,2012,7,2012-07-31,3.92
176,2012,8,2012-08-31,3.83
177,2012,9,2012-09-28,3.56
178,2012,10,2012-10-31,3.61
179,2012,11,2012-11-30,3.54
180,2012,12,2012-12-31,3.88
181,2013,1,2013-01-31,4.25
