day,code,pe_ratio,pb_ratio,market_cap
2016-01-04,002027.XSHE,55118.3437,3.9036,1576.3864
2016-01-05,002027.XSHE,51016.8482,3.6132,1459.0835
2016-01-06,002027.XSHE,53621.6576,3.7976,1533.5812
2016-01-07,002027.XSHE,48253.7354,3.4175,1380.0583
2016-01-08,002027.XSHE,46915.3526,3.3227,1341.7806
2016-01-11,002027.XSHE,42223.8174,2.9904,1207.6025
2016-01-12,002027.XSHE,46440.4426,3.289,1328.1982
2016-01-13,002027.XSHE,42310.1646,2.9965,1210.0721
2016-01-14,002027.XSHE,44857.4092,3.1769,1282.9233
2016-01-15,002027.XSHE,44828.6268,3.1749,1282.1002
2016-01-18,002027.XSHE,48498.386,3.4348,1387.0554
2016-01-19,002027.XSHE,49217.9466,3.4858,1407.6349
2016-01-20,002027.XSHE,47893.9551,3.392,1369.7687
2016-01-21,002027.XSHE,43116.0725,3.0536,1233.1211
2016-01-22,002027.XSHE,44972.5389,3.1851,1286.2161
2016-01-25,002027.XSHE,44655.9323,3.1627,1277.1611
2016-01-26,002027.XSHE,40194.6564,2.8467,1149.5685
2016-01-27,002027.XSHE,41101.3028,2.9109,1175.4987
2016-01-28,002027.XSHE,38582.8406,2.7325,1103.4705
2016-01-29,002027.XSHE,42439.6855,3.0057,1213.7764
2016-02-01,002027.XSHE,43590.9825,3.0872,1246.7035
2016-02-02,002027.XSHE,45476.2314,3.2208,1300.6217
2016-02-03,002027.XSHE,46958.5263,3.3257,1343.0154
2016-02-04,002027.XSHE,48714.2542,3.4501,1393.2292
2016-02-05,002027.XSHE,46656.3108,3.3043,1334.3719
2016-02-15,002027.XSHE,45879.1853,3.2493,1312.1462
2016-02-16,002027.XSHE,48930.1224,3.4654,1399.4031
2016-02-17,002027.XSHE,50657.0679,3.5877,1448.7938
2016-02-18,002027.XSHE,49059.6433,3.4745,1403.1074
2016-02-19,002027.XSHE,48642.2981,3.445,1391.1713
2016-02-22,002027.XSHE,49592.1181,3.5123,1418.3362
2016-02-23,002027.XSHE,47606.1308,3.3716,1361.5369
2016-02-24,002027.XSHE,47433.4363,3.3594,1356.5978
2016-02-25,002027.XSHE,47433.4363,3.3594,1356.5978
2016-02-26,002027.XSHE,45174.0159,3.1994,1291.9783
2016-02-29,002027.XSHE,34.3092,25.2839,1162.7393
2016-03-01,002027.XSHE,34.5035,25.4271,1169.3248
2016-03-02,002027.XSHE,36.0459,26.5638,1221.5966
2016-03-03,002027.XSHE,35.7059,26.3132,1210.0721
2016-03-04,002027.XSHE,36.1309,26.6264,1224.4777
2016-03-07,002027.XSHE,37.1025,27.3424,1257.4049
2016-03-08,002027.XSHE,36.7139,27.056,1244.234
2016-03-09,002027.XSHE,35.0986,25.8657,1189.4926
2016-03-10,002027.XSHE,33.8113,24.917,1145.8643
2016-03-11,002027.XSHE,33.3741,24.5948,1131.047
2016-03-14,002027.XSHE,35.1351,25.8925,1190.7274
2016-03-15,002027.XSHE,34.0542,25.096,1154.0959
2016-03-16,002027.XSHE,34.0542,25.096,1154.0959
2016-03-17,002027.XSHE,35.4265,26.1073,1200.6055
2016-03-18,002027.XSHE,37.5519,27.6736,1272.6337
2016-03-21,002027.XSHE,38.8635,28.6402,1317.0853
2016-03-22,002027.XSHE,38.3656,28.2732,1300.2101
2016-03-23,002027.XSHE,39.0093,28.7476,1322.0243
2016-03-24,002027.XSHE,37.4669,27.6109,1269.7524
2016-03-25,002027.XSHE,37.2604,27.4588,1262.7555
2016-03-28,002027.XSHE,36.3131,26.7607,1230.6516
2016-03-29,002027.XSHE,35.3415,26.0447,1197.7244
2016-03-30,002027.XSHE,36.7018,27.0471,1243.8224
