,code,day,pe_ratio,market_cap
0,000568.XSHE,2020-08-28,43.4012,2218.9536
1,000568.XSHE,2020-08-27,43.1678,2086.9792
2,000568.XSHE,2020-08-26,41.8711,2024.2878
3,000568.XSHE,2020-08-25,41.9226,2026.778
4,000568.XSHE,2020-08-24,38.7989,1875.762
5,000568.XSHE,2020-08-21,38.7383,1872.8325
6,000568.XSHE,2020-08-20,37.9809,1836.2137
7,000568.XSHE,2020-08-19,38.7413,1872.979
8,000568.XSHE,2020-08-18,38.0718,1840.608
9,000568.XSHE,2020-08-17,37.5385,1814.8282
10,000568.XSHE,2020-08-14,35.6268,1722.4023
11,000568.XSHE,2020-08-13,33.6847,1628.5118
12,000568.XSHE,2020-08-12,33.5999,1624.4105
13,000568.XSHE,2020-08-11,34.1937,1653.1196
14,000568.XSHE,2020-08-10,33.9028,1639.058
15,000568.XSHE,2020-08-07,33.6302,1625.8752
16,000568.XSHE,2020-08-06,34.7603,1680.5105
17,000568.XSHE,2020-08-05,36.0115,1741.0048
18,000568.XSHE,2020-08-04,35.4783,1715.2251
19,000568.XSHE,2020-08-03,35.6025,1721.2306
20,000568.XSHE,2020-07-31,35.7449,1728.115
21,000568.XSHE,2020-07-30,35.8086,1731.191
22,000568.XSHE,2020-07-29,35.8086,1731.191
23,000568.XSHE,2020-07-28,35.4177,1712.2957
24,000568.XSHE,2020-07-27,34.8572,1685.1978
25,000568.XSHE,2020-07-24,34.533,1669.5249
26,000568.XSHE,2020-07-23,36.3569,1757.703
27,000568.XSHE,2020-07-22,35.4783,1715.2251
28,000568.XSHE,2020-07-21,34.8512,1684.9048
29,000568.XSHE,2020-07-20,34.1755,1652.2408
30,000568.XSHE,2020-07-17,34.5421,1669.9644
31,000568.XSHE,2020-07-16,34.8693,1685.7836
32,000568.XSHE,2020-07-15,38.7444,1873.1255
33,000568.XSHE,2020-07-14,37.5082,1813.3636
34,000568.XSHE,2020-07-13,37.8445,1829.6223
35,000568.XSHE,2020-07-10,36.8114,1779.6743
36,000568.XSHE,2020-07-09,36.2054,1750.3792
37,000568.XSHE,2020-07-08,34.8087,1682.8541
38,000568.XSHE,2020-07-07,34.7966,1682.2682
39,000568.XSHE,2020-07-06,33.7726,1632.7596
40,000568.XSHE,2020-07-03,33.3575,1612.6925
41,000568.XSHE,2020-07-02,32.6031,1576.2201
42,000568.XSHE,2020-07-01,30.3671,1468.1215
43,000568.XSHE,2020-06-30,27.607,1334.6825
44,000568.XSHE,2020-06-29,27.5343,1331.1671
45,000568.XSHE,2020-06-24,28.013,1354.3101
46,000568.XSHE,2020-06-23,28.2615,1366.321
47,000568.XSHE,2020-06-22,27.3919,1324.2827
48,000568.XSHE,2020-06-19,27.8403,1345.9611
49,000568.XSHE,2020-06-18,27.2344,1316.666
50,000568.XSHE,2020-06-17,27.1465,1312.4182
51,000568.XSHE,2020-06-16,27.4162,1325.4545
52,000568.XSHE,2020-06-15,27.3768,1323.5503
53,000568.XSHE,2020-06-12,28.7826,1391.5149
54,000568.XSHE,2020-06-11,28.7523,1390.05
55,000568.XSHE,2020-06-10,29.0704,1405.4301
56,000568.XSHE,2020-06-09,29.0219,1403.0864
57,000568.XSHE,2020-06-08,28.7917,1391.9543
58,000568.XSHE,2020-06-05,28.3554,1370.8618
59,000568.XSHE,2020-06-04,26.989,1304.8015
60,000568.XSHE,2020-06-03,26.5042,1281.3655
61,000568.XSHE,2020-06-02,26.6951,1290.5934
62,000568.XSHE,2020-06-01,27.0314,1306.8522
63,000568.XSHE,2020-05-29,25.8437,1249.434
64,000568.XSHE,2020-05-28,25.4499,1230.3921
65,000568.XSHE,2020-05-27,25.4983,1232.7357
66,000568.XSHE,2020-05-26,25.8589,1250.1663
67,000568.XSHE,2020-05-25,25.6862,1241.8171
68,000568.XSHE,2020-05-22,25.4741,1231.5638
69,000568.XSHE,2020-05-21,26.5497,1283.5626
70,000568.XSHE,2020-05-20,26.6102,1286.4921
71,000568.XSHE,2020-05-19,26.995,1305.0945
72,000568.XSHE,2020-05-18,27.1162,1310.9535
73,000568.XSHE,2020-05-15,26.5284,1282.5374
74,000568.XSHE,2020-05-14,26.6012,1286.0527
75,000568.XSHE,2020-05-13,26.8617,1298.6495
76,000568.XSHE,2020-05-12,25.4862,1232.1498
77,000568.XSHE,2020-05-11,25.0863,1212.8151
78,000568.XSHE,2020-05-08,24.7348,1195.8239
79,000568.XSHE,2020-05-07,24.3288,1176.1962
