,2012,2013,2014,2015,2016,2017,2018,2019
深物业A,9.9868,7.6356,10.7651,3.7957,6.432,10.3416,10.5705,8.9453
特力A,0.1599,0.4485,1.1366,4.3279,2.3428,5.0751,5.6271,13.2447
深深房A,3.0754,5.7599,6.9395,7.0384,7.8211,4.7569,11.5532,11.3037
华联控股,2.124,2.715,0.6876,1.7166,16.7159,14.8815,10.5155,7.7363
京基智农,2.4667,-0.7886,7.2533,10.6927,0.3079,-4.7321,9.8938,19.8764
双林生物,0.2499,5.6765,8.9823,5.4361,3.5335,1.1892,5.6813,12.192
泸州老窖,32.3885,24.1409,7.2556,11.7691,14.5198,15.5671,16.5742,18.0194
古井贡酒,15.1957,11.182,9.7632,10.5258,10.6828,12.5494,15.3636,16.3586
盛达资源,51.6567,50.3158,39.6855,32.9558,15.597999999999999,13.4007,16.2093,13.9018
长春高新,18.3689,16.4487,14.9239,15.4653,13.5127,13.6867,17.4514,21.2265
上峰水泥,0.9472,15.2994,10.3176,1.4088,2.6508,13.0133,22.8942,28.1403
贝瑞基因,0.0637,-1.6588,1.5868,-2.7539,-0.7997,20.7647,13.0394,14.7566
居然之家,2.7083,2.2203,1.8836,-0.5721,1.3471,13.8546,3.9632,17.2597
万年青,3.9526,9.2839,10.5023,3.8433,4.4212,9.9916,19.945999999999998,18.7978
东莞控股,7.0905,7.7902,10.7678,11.5012,9.6233,9.2958,9.912,9.4252
承德露露,14.953,20.0727,24.1589,21.5826,16.3115,14.1549,14.5953,15.6632
五粮液,25.162,18.6227,13.3826,12.9563,12.3025,15.1558,17.8817,18.9393
天山股份,2.7942,1.8851,1.1863,-3.1773,0.0974,1.5244,6.9748,11.3208
城发环境,5.02,2.7268,4.8634,1.556,1.2189,9.2083,7.2623,7.343
佳电股份,12.0293,5.8849,0.1643,-12.4136,-14.4251,4.3384,9.3179,10.1329
四川双马,1.4686,4.0629,3.4819,-2.0801,1.994,4.2885,13.6939,16.0969
华兰生物,11.0233,14.3979,14.5319,14.94,17.7899,16.285999999999998,20.654,19.5915
世荣兆业,9.3604,23.0916,0.172,1.2948,1.4335,12.728,11.1003,11.0003
鲁阳节能,4.7573,4.6313,4.0697,2.8246,4.9623,9.3812,11.7058,11.5491
东港股份,8.3066,9.5351,10.8815,12.0544,11.217,10.3836,11.3266,11.5145
南极电商,-5.2066,-15.5376,0.633,15.0062,17.7251,18.2573,21.201999999999998,24.0413
远望谷,8.1224,2.8438,3.3153,0.597,1.8903,0.0768,-8.8411,30.7566
云海金属,0.6642,0.1091,0.6641,0.8237,5.4477,4.2519,7.9665,18.8845
成飞集成,1.8665,1.2879,0.9294,2.8669,2.918,-2.8398,-6.9811,11.6474
塔牌集团,3.8812,7.5231,11.1961,6.6497,7.1217,8.7341,16.6288,15.2843
民和股份,-3.9425,-12.6663,3.1324,-15.780999999999999,7.7131,-13.0462,15.529000000000002,54.6911
通产丽星,6.0415,3.6529,-1.8032,0.7072,1.919,2.7795,4.6807,10.525
恩华药业,11.3293,11.8498,12.683,11.4128,10.9191,11.9574,14.162,15.9645
奇正藏药,13.4618,14.2337,14.1574,13.5348,13.8831,13.7582,13.7738,13.7586
圣农发展,-0.5864,-3.5291,0.4164,-4.7529,6.1012,2.1596,11.1367,27.5208
洋河股份,28.9223,19.285,15.8243,17.1363,15.9774,16.1311,17.4858,14.3393
伟星新材,11.1695,14.3697,15.9547,17.743,20.4106,20.8662,22.223000000000003,20.8663
海普瑞,7.5957,3.7918,3.6846,5.1412,3.0788,0.9056,4.412,7.2225
海康威视,22.6427,24.9548,26.473000000000003,22.7969,20.711,20.1862,19.7847,17.9559
启明星辰,5.2271,7.1721,8.6027,9.7568,8.5883,11.7585,12.2095,11.5607
闰土股份,6.4067,15.925999999999998,19.5381,9.7443,8.6714,11.2164,13.4416,12.8111
益生股份,0.7623,-18.7299,1.3736,-22.5613,30.3323,-15.3537,16.1499,67.5428
沪电股份,6.6447,3.7923,-0.2362,0.1018,2.4259,3.597,9.0617,16.2594
涪陵榨菜,11.5006,11.6161,9.885,10.3806,14.3207,18.7535,24.226999999999997,19.0885
老板电器,12.3404,14.7086,17.6614,19.1379,21.0948,20.3767,17.0734,16.0563
三七互娱,1.5497,0.45399999999999996,2.78,22.9328,22.1021,23.6261,13.1173,26.0702
百润股份,12.0801,6.4208,8.6324,40.2221,-6.8818,7.6532,5.2143,12.0406
豪迈科技,9.3473,13.637,18.6376,19.989,19.2297,15.8517,14.527999999999999,13.9616
金禾实业,5.2869,5.5198,4.2926,5.2456,14.2005,20.956,16.0375,13.6501
龙蟒佰利,6.3381,0.7095,1.5658,2.2869,3.8582,13.3121,11.1096,11.1148
姚记科技,10.3835,11.4178,9.618,6.1984,5.8197,4.0894,8.3716,15.585
中公教育,3.8075,1.7109,-1.8442,0.3979,1.6213,1.5913,19.4911,21.0286
完美世界,4.1655,2.2549,17.7223,12.7901,11.7253,8.8796,10.806,8.8762
浙江美大,12.0434,10.3769,12.4972,13.2853,15.5321,19.8608,21.8459,24.4208
美亚光电,16.569000000000003,13.0212,14.0871,14.1639,13.6437,14.311,16.4159,19.8722
牧原股份,,,2.1811,10.6527,23.2203,12.795,1.96,15.3187
特一药业,,,12.5386,6.6927,5.9212,6.0214,7.784,7.9415
仙坛股份,,,,1.5293,12.458,4.0236,14.8718,28.6611
国光股份,,,,19.0388,14.6202,18.7147,22.2284,16.3043
奥赛康,,,,2.9043,0.6545,2.2171,34.9769,23.4544
康弘药业,,,,16.3974,15.0201,15.4404,14.21,13.0321
微光股份,,,,,14.9799,11.7995,9.4884,13.9949
恩捷股份,,,,,10.5062,7.9392,13.9694,9.4048
富森美,,,,,12.2509,12.8062,13.2515,13.6177
凯莱英,,,,,14.8318,14.1693,13.9613,15.9521
比音勒芬,,,,,12.2894,11.245999999999999,15.1778,17.5117
弘亚数控,,,,,25.2204,23.9178,20.81,17.6624
星帅尔,,,,,,14.8228,11.8352,17.1189
周大生,,,,,,17.5354,15.700999999999999,16.7888
金溢科技,,,,,,7.9224,1.2028,32.8139
凌霄泵业,,,,,,18.8933,16.2847,18.4434
大博医疗,,,,,,28.5276,24.7648,24.5249
华森制药,,,,,,14.5678,13.8845,12.4306
中新赛克,,,,,,10.6504,10.8541,13.8769
盈趣科技,,,,,,,22.2509,19.2915
恒铭达,,,,,,,,16.5455
