,2012,2013,2014,2015,2016,2017,2018,2019
深物业A,28.5156,18.2017,21.5371,7.5139,15.7353,23.3664,18.9379,25.218000000000004
特力A,3.9478,3.6703,5.3989,8.0692,3.0839999999999996,7.1949,8.6343,18.9275
深深房A,6.7519,13.0487,14.8095,13.4037,12.5239,6.7611,16.346,15.7863
华联控股,3.3327,4.3411,1.8331,3.5377,49.756,34.4967,21.005,16.7486
京基智农,7.1965,-2.2166,24.7375,33.0513,0.8236,-23.7861,54.9298,69.8918
双林生物,15.2372,26.5005,33.8801,16.8004,10.2191,3.835,13.2237,22.3162
泸州老窖,52.0411,33.9179,8.676,14.7377,18.0952,19.5248,21.693,25.5254
古井贡酒,23.6479,17.4764,15.0696,15.8757,15.9103,19.0596,24.1124,25.3537
盛达资源,54.5483,50.6985,40.6477,31.2769,11.6348,11.4298,19.3521,22.0487
长春高新,38.4671,26.7575,23.9861,23.7469,17.079,15.9014,20.7079,26.5335
上峰水泥,3.5388,35.102,23.1807,3.5209,9.0623,42.6732,51.6718,52.4828
贝瑞基因,0.3348,-5.2738,5.6042,-10.5029,-3.6122,28.2011,15.5867,18.461
居然之家,7.5992,5.2891,3.1342,-5.9283,0.2637,37.49,5.8187,38.4097
万年青,11.7958,23.0521,23.855,9.6613,8.4278,15.6526,31.8773,30.1043
东莞控股,10.8298,11.439,15.4608,18.9793,17.1216,16.4879,17.2673,15.6419
承德露露,28.6136,36.9371,38.1348,30.9868,24.6603,20.8123,21.0716,23.7315
五粮液,36.6085,23.7112,15.452,14.9255,15.0091,19.2683,22.914,25.2612
天山股份,5.8003,4.2655,3.7372,-7.9104,1.6225,4.0096,15.7589,18.1278
城发环境,10.5269,3.9349,8.6471,1.6558,1.9329,29.4506,26.7695,22.7828
佳电股份,27.0392,0.7973,-1.9555,-12.4635,-26.4341,8.0667,16.4571,17.1841
四川双马,0.4387,3.4621,1.6243,-4.8637,3.1614,7.2261,21.7284,18.9471
华兰生物,12.0766,16.7516,16.6184,16.6881,19.8153,18.4774,22.3567,21.2662
世荣兆业,16.5666,40.9326,0.9312,3.9233,5.3717,42.8089,30.8119,30.0949
鲁阳节能,5.9618,5.8355,5.0936,3.6295,6.3698,12.0152,15.7291,16.0665
东港股份,9.5567,11.3256,13.5458,15.9244,14.9318,15.2828,16.3442,16.3365
南极电商,-17.076,-74.687,2.3566,20.500999999999998,21.761999999999997,23.4567,26.228,28.0585
远望谷,8.9174,2.7659,3.225,1.1304,2.5076,0.0935,-11.7297,43.4935
云海金属,2.2128,2.7898,3.0210000000000004,3.2972,14.4606,10.4068,19.522000000000002,40.468
成飞集成,3.4715,2.8539999999999996,2.5508,5.2998,8.0877,-6.2085,-11.8035,29.8278
塔牌集团,5.8846,11.0945,15.1863,8.8548,10.0386,11.2142,20.0873,18.4823
民和股份,-5.5297,-19.6191,5.4006,-30.5026,16.128,-32.824,40.9203,83.4736
通产丽星,10.497,5.4819,-2.4867,0.5294,1.8008,2.8457,5.3851,16.7119
