,2019,2018,2017,2016,2015,2014,2013,2012,industry
万科A,23.5873,22.5537,1.0063,22.9754,33.5828,8.1002,31.3263,43.6505,房地产业
国药一致,20.6931,4.5052,0.0371,9.0672,8.5112,12.995,17.6979,18.8885,批发业
德赛电池,6.9189,38.1489,43.1154,3.4411,31.9987,45.1357,37.7834,42.2429,电气机械和器材制造业
华侨城A,24.6465,13.7009,19.3346,10.0656,4.9421,9.0985,26.35,28.631999999999998,房地产业
海王生物,8.1077,53.8952,83.2999,22.3803,13.4191,22.63,24.5467,20.98,零售业
华数传媒,7.9939,7.0634,4.1583,7.7875,18.5335,33.8905,16.1348,16.605,广播、电视、电影和影视录音制作业
双林生物,6.4911,25.4553,22.1242,13.4262,2.201,2.4659,1.6797,1.899,医药制造业
英特集团,20.0505,8.382,9.5612,11.5792,9.8952,13.7801,16.8022,24.2026,批发业
丽珠集团,5.9142,3.8646,11.4901,15.5767,19.4127,20.0394,17.1206,24.6801,医药制造业
广弘控股,20.831999999999997,8.3639,11.5302,7.2276,2.7174,1.6476,17.6151,13.084000000000001,农副食品加工业
云南白药,9.8004,9.8443,8.4958,8.065,10.225,18.9669,14.4735,20.9904,医药制造业
航天发展,14.8888,41.1457,15.0743,51.5478,207.8471,59.6533,26.5828,3.6216,计算机、通信和其他电子设备制造业
古井贡酒,19.9262,24.6518,15.8079,14.5378,12.9558,1.5343,9.1378,26.8768,酒、饮料和精制茶制造业
金科股份,64.3641,18.632,7.8242,66.1743,11.9783,7.8029,55.2822,4.8944,房地产业
长春高新,37.1853,31.0252,41.5823,20.6216,6.1789,10.4256,16.3245,36.0422,医药制造业
东方电子,12.3675,12.3277,14.1969,13.847999999999999,13.1839,10.5267,15.8283,21.5778,软件和信息技术服务业
厦门信达,29.0575,18.766,24.143,37.4873,11.1786,2.7645,46.3624,18.6253,批发业
浙江震元,13.4739,10.867,5.6521,12.6878,3.9531,3.1259,11.3638,5.3919,批发业
黑芝麻,12.8957,43.0273,19.7582,22.6146,21.4335,14.7064,41.8928,0.71,食品制造业
中原传媒,5.4986,10.1126,3.6096,10.5212,0.5077,9.9093,27.0217,26.7698,新闻和出版业
京东方A,19.5149,3.5269999999999997,36.1486,41.6914,32.0711,9.0069,31.0524,102.2663,计算机、通信和其他电子设备制造业
普洛药业,13.0918,14.8536,16.3358,10.0105,2.4849,9.791,10.7814,23.6877,医药制造业
新华制药,6.8904,15.3276,12.4722,11.6187,0.2029,13.2537,6.6678,1.1571,医药制造业
财信发展,11.3613,68.9992,5.0925,156.9466,12.1044,34.3036,58.9599,36753.1953,房地产业
高鸿股份,23.1511,3.2191,3.483,16.817999999999998,4.8623,13.987,34.2549,13.0939,零售业
顺鑫农业,23.403000000000002,2.9021,4.7924,16.1849,1.6535,4.5006,8.7557,10.0492,酒、饮料和精制茶制造业
紫光股份,11.9181,23.6322,41.0013,107.5648,19.7847,30.8083,30.399,22.9298,计算机、通信和其他电子设备制造业
锡业股份,8.2927,15.0858,2.9349,7.5609,11.9136,19.2132,34.6782,26.6853,有色金属冶炼和压延加工业
华东医药,15.5962,10.1738,9.6619,16.8096,14.6722,13.3353,14.6699,30.9742,零售业
银泰黄金,6.6866,116.6912,94.60700000000001,4.2376,0.6553,22.2975,131.7648,5.3048,有色金属矿采选业
浪潮信息,10.0392,84.167,101.2053,25.1383,38.5453,72.9896,48.2279,77.729,计算机、通信和其他电子设备制造业
华兰生物,15.0158,35.8386,22.4073,31.4525,18.3577,11.2629,14.9262,1.1509,医药制造业
永新股份,11.4677,16.1348,5.4642,2.9902,6.9175,3.089,6.4066,0.5239,橡胶和塑料制品业
亿帆医药,11.9834,5.9109,24.7872,43.9303,44.5076,45.4813,8.3562,29.9467,医药制造业
京新药业,23.8767,32.6595,18.3211,32.4762,14.5853,26.791999999999998,13.6249,20.831999999999997,医药制造业
苏宁易购,9.9088,30.3461,26.478,9.6185,24.4409,3.4505,7.0509,4.7595,零售业
航天电器,24.6862,8.4972,15.7651,20.4421,16.7729,17.0332,25.2868,27.1993,计算机、通信和其他电子设备制造业
思源电气,32.7357,6.9376,2.0677,10.1643,8.8828,8.4397,17.0775,46.7994,电气机械和器材制造业
宁波华翔,14.5129,0.8136,18.3964,27.4827,12.592,19.4874,30.2182,51.1249,汽车制造业
江苏国泰,6.7659,6.6997,16.1003,7.1664,20.3199,8.0928,16.1165,7.0626,批发业
沃华医药,11.089,6.574,29.1022,20.0293,7.095,23.361,21.9416,40.6487,医药制造业
威海广泰,16.6533,21.233,15.9992,17.5495,30.3403,14.662,9.1937,28.4832,专用设备制造业
利欧股份,14.5517,15.8656,45.0583,67.4408,52.812,56.1023,13.6361,25.6625,互联网和相关服务
顺络电子,14.0211,18.8415,14.4736,31.6069,13.4833,13.9955,36.8983,35.3356,计算机、通信和其他电子设备制造业
宁波银行,21.2617,14.2843,7.0599,21.1557,27.0856,20.3368,23.3966,29.8225,货币金融服务
荣盛发展,25.8026,45.6377,26.3928,30.6049,1.3538,20.5948,42.9016,41.1891,房地产业
中航光电,17.1802,22.8583,8.6597,23.906,35.3441,34.1877,18.0753,18.063,计算机、通信和其他电子设备制造业
华天科技,13.7858,1.5953,28.0338,41.3269,17.1998,35.074,50.7615,24.0107,计算机、通信和其他电子设备制造业
三全食品,8.0589,5.3929,9.9322,12.8289,3.4933,13.6274,34.4239,2.0594,食品制造业
鱼跃医疗,10.8176,18.1228,34.14,25.139,25.0883,18.0773,8.5437,12.1054,专用设备制造业
科大讯飞,27.3008,45.4119,63.9731,32.7766,40.8734,41.5968,59.9238,40.74,软件和信息技术服务业
大华股份,10.4951,25.5843,41.3784,32.2615,37.4522,35.5223,53.2077,60.1307,计算机、通信和其他电子设备制造业
步步高,6.8677,6.6518,11.5059,0.1216,25.6556,7.9812,13.8146,18.5618,零售业
恩华药业,7.5462,13.687000000000001,12.4559,9.0805,10.6026,11.8637,12.790999999999999,24.8817,医药制造业
陕天然气,6.5509,17.7463,5.9963,6.189,27.5789,31.1569,6.7026,14.7971,燃气生产和供应业
东方雨虹,29.2519,36.4593,47.0375,31.9805,5.9543,28.2706,31.0235,20.4118,非金属矿物制品业
水晶光电,28.9814,8.3887,27.7107,42.2015,20.9099,56.0113,5.7193,36.8098,计算机、通信和其他电子设备制造业
久其软件,14.0214,36.5459,50.8309,84.2947,119.3837,12.8246,17.0726,2.513,软件和信息技术服务业
光迅科技,8.295,8.2578,12.1662,29.7903,29.0551,14.0834,1.3802,1.5133,计算机、通信和其他电子设备制造业
圣农发展,26.0773,13.6673,10.8708,20.182000000000002,7.8272,36.6981,14.8544,31.7532,畜牧业
西部建设,21.4736,26.3347,29.4053,11.992,0.8215,18.5357,26.0036,0.8086,非金属矿物制品业
海大集团,12.9421,29.4871,19.7582,6.327999999999999,21.2276,17.6237,16.0435,29.0232,农副食品加工业
众生药业,7.1992,20.2253,16.0562,7.273,20.5745,20.0443,22.9678,18.0897,医药制造业
潮宏基,9.0748,5.2441,12.6885,1.7828,8.919,19.1095,35.1784,16.3553,其他制造业
太极股份,17.3973,13.5201,1.5379,6.928,13.4849,26.4155,16.5531,26.4401,软件和信息技术服务业
东山精密,18.8011,28.8238,83.1372,110.4574,13.3135,33.3703,45.4514,54.3343,计算机、通信和其他电子设备制造业
天原集团,27.4788,18.5639,22.2664,16.798,16.5488,0.349,57.0356,3.0509,化学原料和化学制品制造业
长青股份,12.5425,33.6475,22.5054,0.6597,0.6539,15.3195,23.4344,26.939,化学原料和化学制品制造业
和而泰,36.6242,35.0022,46.9853,21.2077,27.9416,15.6381,33.6818,12.1509,计算机、通信和其他电子设备制造业
嘉欣丝绸,8.0869,14.7138,23.0572,11.9172,0.3648,10.6342,4.5065,5.3875,纺织服装、服饰业
海康威视,15.6931,18.9275,31.223000000000003,26.3248,46.6444,60.3691,48.9634,37.8877,计算机、通信和其他电子设备制造业
太安堂,21.0496,2.3575,5.3161,29.6755,93.1881,56.3538,51.6125,24.0817,医药制造业
兴森科技,9.5145,5.7964,11.6729,38.7042,26.6249,28.6769,29.2647,5.0543,计算机、通信和其他电子设备制造业
启明星辰,22.5112,10.6771,18.2194,25.6469,28.2946,26.0665,30.3126,70.694,互联网和相关服务
巨星科技,11.6399,38.6408,18.7962,13.4374,10.8308,8.2974,14.7711,6.7379,金属制品业
赣锋锂业,6.7515,14.1541,54.1231,110.0649,55.7166,26.6971,9.2525,32.2476,有色金属冶炼和压延加工业
嘉事堂,23.534000000000002,26.1325,29.7799,33.8025,47.1574,57.2156,38.7695,41.7842,批发业
立讯精密,74.3832,57.0569,65.8561,35.7326,38.9743,58.8958,45.8965,23.1508,计算机、通信和其他电子设备制造业
中顺洁柔,16.8424,22.4254,21.7623,28.7387,17.3368,0.8019,6.936,26.0307,造纸和纸制品业
英飞拓,11.2465,46.986000000000004,46.8432,9.1334,85.1189,1.9659,26.8075,113.4282,计算机、通信和其他电子设备制造业
天顺风能,61.1832,16.7934,40.032,5.3469,53.2185,8.6455,4.8045,30.7676,电气机械和器材制造业
云图控股,9.6358,1.6372,27.4943,4.0144,25.0841,21.2623,12.3794,5.6434,化学原料和化学制品制造业
中化岩土,15.052999999999999,27.6148,21.0516,19.4835,60.3802,138.5272,11.9133,70.7703,土木工程建筑业
洽洽食品,15.2537,16.496,2.5541,6.0893,6.3645,4.1755,8.6769,0.4019,农副食品加工业
索菲亚,5.1319,18.6555,36.0153,41.7501,35.3505,32.3865,45.9828,21.7326,家具制造业
