,年,月,日期,收盘价
0,1997,12,1997-12-25,4.74
1,1998,1,1998-01-05,4.18
2,1998,2,1998-02-09,4.21
3,1998,3,1998-03-02,4.02
4,1998,4,1998-04-01,4.01
5,1998,5,1998-05-04,4.05
6,1998,6,1998-06-01,3.83
7,1998,7,1998-07-01,3.82
8,1998,8,1998-08-03,2.99
9,1998,9,1998-09-01,3.02
10,1998,10,1998-10-05,2.91
11,1998,11,1998-11-02,2.85
12,1998,12,1998-12-01,2.83
13,1999,1,1999-01-04,2.82
14,1999,2,1999-02-01,2.81
15,1999,3,1999-03-01,2.89
16,1999,4,1999-04-01,2.9
17,1999,5,1999-05-04,2.82
18,1999,6,1999-06-01,2.94
19,1999,7,1999-07-01,3.54
20,1999,8,1999-08-02,3.62
21,1999,9,1999-09-01,3.77
22,1999,10,1999-10-08,3.38
23,1999,11,1999-11-02,3.26
24,1999,12,1999-12-01,2.94
25,2000,1,2000-01-04,2.96
26,2000,2,2000-02-14,3.0
27,2000,3,2000-03-01,3.1
28,2000,4,2000-04-03,3.39
29,2000,5,2000-05-08,3.52
30,2000,6,2000-06-02,4.37
31,2000,7,2000-07-03,4.63
32,2000,8,2000-08-01,5.15
33,2000,9,2000-09-01,3.83
34,2000,10,2000-10-09,4.0
35,2000,11,2000-11-01,4.17
36,2000,12,2000-12-01,4.2
37,2001,1,2001-01-02,4.23
38,2001,2,2001-02-05,4.42
39,2001,3,2001-03-01,4.59
40,2001,4,2001-04-02,4.58
41,2001,5,2001-05-08,4.47
42,2001,6,2001-06-01,4.52
43,2001,7,2001-07-02,4.45
44,2001,8,2001-08-01,4.3
45,2001,9,2001-09-03,4.1
46,2001,10,2001-10-08,3.65
47,2001,11,2001-11-01,3.92
48,2001,12,2001-12-03,3.63
49,2002,1,2002-01-04,3.16
50,2002,2,2002-02-01,3.32
51,2002,3,2002-03-01,3.31
52,2002,4,2002-04-01,3.74
53,2002,5,2002-05-08,3.48
54,2002,6,2002-06-03,3.41
55,2002,7,2002-07-01,3.84
56,2002,8,2002-08-01,3.78
57,2002,9,2002-09-02,3.55
58,2002,10,2002-10-08,3.39
59,2002,11,2002-11-01,3.1
60,2002,12,2002-12-02,3.13
61,2003,1,2003-01-02,3.1
62,2003,2,2003-02-10,3.55
63,2003,3,2003-03-03,3.48
64,2003,4,2003-04-01,3.67
65,2003,5,2003-05-12,3.99
66,2003,6,2003-06-02,4.01
67,2003,7,2003-07-01,4.09
68,2003,8,2003-08-01,4.04
69,2003,9,2003-09-01,3.86
70,2003,10,2003-10-08,4.04
71,2003,11,2003-11-03,4.53
72,2003,12,2003-12-01,5.16
73,2004,1,2004-01-02,5.67
74,2004,2,2004-02-02,5.88
75,2004,3,2004-03-01,6.55
76,2004,4,2004-04-01,4.78
77,2004,5,2004-05-10,4.56
78,2004,6,2004-06-01,4.15
79,2004,7,2004-07-01,4.13
80,2004,8,2004-08-02,3.99
81,2004,9,2004-09-01,4.13
82,2004,10,2004-10-08,4.7
83,2004,11,2004-11-01,4.65
84,2004,12,2004-12-01,5.18
85,2005,1,2005-01-04,5.22
86,2005,2,2005-02-01,5.59
87,2005,3,2005-03-01,5.3
88,2005,4,2005-04-01,4.49
89,2005,5,2005-05-10,3.83
90,2005,6,2005-06-01,3.7
91,2005,7,2005-07-01,3.47
92,2005,8,2005-08-01,4.02
93,2005,9,2005-09-01,3.92
94,2005,10,2005-10-10,4.13
95,2005,11,2005-11-01,4.49
96,2005,12,2005-12-02,3.85
97,2006,1,2006-01-04,3.9
98,2006,2,2006-02-06,4.65
99,2006,3,2006-03-01,4.88
100,2006,4,2006-04-03,5.39
101,2006,5,2006-05-08,5.83
102,2006,6,2006-06-01,5.31
103,2006,7,2006-07-03,5.23
104,2006,8,2006-08-01,5.2
105,2006,9,2006-09-01,5.49
106,2006,10,2006-10-09,5.76
107,2006,11,2006-11-01,7.04
108,2006,12,2006-12-01,8.39
109,2007,1,2007-01-04,10.9
110,2007,2,2007-02-01,11.16
111,2007,3,2007-03-01,11.7
112,2007,4,2007-04-02,15.5
113,2007,5,2007-05-08,17.83
114,2007,6,2007-06-01,16.52
115,2007,7,2007-07-02,17.34
116,2007,8,2007-08-01,23.0
117,2007,9,2007-09-03,33.1
118,2007,10,2007-10-08,30.12
119,2007,11,2007-11-01,23.0
120,2007,12,2007-12-03,24.8
121,2008,1,2008-01-02,21.3
122,2008,2,2008-02-01,22.28
123,2008,3,2008-03-03,17.9
124,2008,4,2008-04-01,16.96
125,2008,5,2008-05-05,19.8
126,2008,6,2008-06-02,13.03
127,2008,7,2008-07-01,12.2
128,2008,8,2008-08-01,9.05
129,2008,9,2008-09-01,7.51
130,2008,10,2008-10-06,5.47
131,2008,11,2008-11-03,5.39
132,2008,12,2008-12-01,6.9
133,2009,1,2009-01-05,7.4
134,2009,2,2009-02-02,7.45
135,2009,3,2009-03-02,7.37
136,2009,4,2009-04-01,8.2
137,2009,5,2009-05-04,9.29
138,2009,6,2009-06-01,10.69
139,2009,7,2009-07-01,13.95
140,2009,8,2009-08-03,11.08
141,2009,9,2009-09-01,11.05
142,2009,10,2009-10-09,12.0
143,2009,11,2009-11-02,12.63
144,2009,12,2009-12-01,13.9
145,2010,1,2010-01-04,11.74
146,2010,2,2010-02-01,11.19
147,2010,3,2010-03-01,11.59
148,2010,4,2010-04-01,9.13
149,2010,5,2010-05-04,7.92
150,2010,6,2010-06-01,7.18
151,2010,7,2010-07-01,7.12
152,2010,8,2010-08-02,8.09
153,2010,9,2010-09-01,8.14
154,2010,10,2010-10-08,8.58
155,2010,11,2010-11-01,7.75
156,2010,12,2010-12-01,7.65
157,2011,1,2011-01-04,7.43
158,2011,2,2011-02-01,7.66
159,2011,3,2011-03-01,7.78
160,2011,4,2011-04-01,7.77
161,2011,5,2011-05-03,6.95
162,2011,6,2011-06-01,6.61
163,2011,7,2011-07-01,6.27
164,2011,8,2011-08-01,5.52
165,2011,9,2011-09-01,5.18
166,2011,10,2011-10-10,5.06
167,2011,11,2011-11-01,4.78
168,2011,12,2011-12-01,4.44
169,2012,1,2012-01-04,4.36
170,2012,2,2012-02-01,4.54
171,2012,3,2012-03-01,4.27
172,2012,4,2012-04-05,4.29
173,2012,5,2012-05-02,4.18
174,2012,6,2012-06-01,3.9
175,2012,7,2012-07-02,3.66
176,2012,8,2012-08-01,3.54
177,2012,9,2012-09-03,3.3
178,2012,10,2012-10-08,3.39
179,2012,11,2012-11-01,3.31
180,2012,12,2012-12-03,3.39
181,2013,1,2013-01-04,3.97
182,2013,2,2013-02-01,3.63
183,2013,3,2013-03-01,3.31
184,2013,4,2013-04-01,3.29
185,2013,5,2013-05-02,3.27
186,2013,6,2013-06-03,2.62
187,2013,7,2013-07-01,2.52
188,2013,8,2013-08-01,2.91
189,2013,9,2013-09-02,3.01
190,2013,10,2013-10-08,2.9
191,2013,11,2013-11-01,2.96
192,2013,12,2013-12-02,3.1
193,2014,1,2014-01-02,2.92
194,2014,2,2014-02-07,2.77
195,2014,3,2014-03-03,2.8
196,2014,4,2014-04-01,2.84
197,2014,5,2014-05-05,2.8
198,2014,6,2014-06-03,2.8
199,2014,7,2014-07-01,3.03
200,2014,8,2014-08-01,3.35
201,2014,9,2014-09-01,3.4
202,2014,10,2014-10-08,3.6
203,2014,11,2014-11-03,4.03
204,2014,12,2014-12-01,4.67
205,2015,1,2015-01-05,5.23
206,2015,2,2015-02-02,4.94
207,2015,3,2015-03-02,5.35
208,2015,4,2015-04-01,6.32
209,2015,5,2015-05-04,6.39
210,2015,6,2015-06-01,6.85
211,2015,7,2015-07-01,5.38
212,2015,8,2015-08-03,4.58
213,2015,9,2015-09-01,4.6
214,2015,10,2015-10-08,4.74
215,2015,11,2015-11-02,4.56
216,2015,12,2015-12-01,4.51
217,2016,1,2016-01-04,4.09
218,2016,2,2016-02-01,3.79
219,2016,3,2016-03-01,3.98
220,2016,4,2016-04-01,4.1
221,2016,5,2016-05-03,3.72
222,2016,6,2016-06-01,3.68
223,2016,7,2016-07-01,3.82
224,2016,8,2016-08-01,4.13
225,2016,9,2016-09-01,4.35
226,2016,10,2016-10-10,4.45
227,2016,11,2016-11-01,4.47
228,2016,12,2016-12-01,5.0
229,2017,1,2017-01-03,5.07
230,2017,2,2017-02-03,5.77
231,2017,3,2017-03-01,5.47
232,2017,4,2017-04-05,5.11
233,2017,5,2017-05-02,4.89
234,2017,6,2017-06-01,5.14
235,2017,7,2017-07-03,5.73
236,2017,8,2017-08-01,6.3
237,2017,9,2017-09-01,6.43
238,2017,10,2017-10-09,6.21
239,2017,11,2017-11-01,6.23
240,2017,12,2017-12-01,6.22
241,2018,1,2018-01-02,6.36
242,2018,2,2018-02-01,6.66
243,2018,3,2018-03-01,5.83
244,2018,4,2018-04-02,5.89
245,2018,5,2018-05-02,5.91
246,2018,6,2018-06-01,5.57
247,2018,7,2018-07-02,5.21
248,2018,8,2018-08-01,6.03
249,2018,9,2018-09-03,5.51
250,2018,10,2018-10-08,5.75
251,2018,11,2018-11-01,5.47
252,2018,12,2018-12-03,5.0
253,2019,1,2019-01-02,4.97
254,2019,2,2019-02-01,5.25
255,2019,3,2019-03-01,5.53
256,2019,4,2019-04-01,5.32
